MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
800443479624,800441479624,800.443479624,800.441479624,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.519
800453694318,800451694318,800.453694318,800.451694318,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.517
800463910179,800461910179,800.463910179,800.461910179,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.515
800474172709,800472172709,800.474172709,800.472172709,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.513
800484343943,800482343943,800.484343943,800.482343943,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.511
800494562721,800492562721,800.494562721,800.492562721,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.509
800504940465,800502940465,800.504940465,800.502940465,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.507
800516597525,800514597525,800.516597525,800.514597525,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.506
800525805334,800523805334,800.525805334,800.523805334,-0.066,0.082,0.995,0.0,0.0,0.0,,4.697,3.777,69.504
800536019528,800534019528,800.536019528,800.534019528,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.502
800546196179,800544196179,800.546196179,800.544196179,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.5
800556452292,800554452292,800.556452292,800.554452292,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.498
800566603691,800564603691,800.566603691,800.564603691,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.496
800576805260,800574805260,800.57680526,800.57480526,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.494
800586985535,800584985535,800.586985535,800.584985535,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.492
800597599542,800595599542,800.597599542,800.595599542,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.49
800607583807,800605583807,800.607583807,800.605583807,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.488
800617874339,800615874339,800.617874339,800.615874339,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.486
800628078824,800626078824,800.628078824,800.626078824,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.484
800638317728,800636317728,800.638317728,800.636317728,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.483
800648525422,800646525422,800.648525422,800.646525422,-0.066,0.082,0.995,0.0,0.0,-0.122,,4.697,3.777,69.481
800658900249,800656900249,800.658900249,800.656900249,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.479
800669220532,800667220532,800.669220532,800.667220532,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.477
800679396141,800677396141,800.679396141,800.677396141,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.475
800689578459,800687578459,800.689578459,800.687578459,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.473
800699830196,800697830196,800.699830196,800.697830196,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.471
800710027390,800708027390,800.71002739,800.70802739,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.469
800720416218,800718416218,800.720416218,800.718416218,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.467
800730630620,800728630620,800.73063062,800.72863062,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.466
800740852607,800738852607,800.740852607,800.738852607,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.463
800751173473,800749173473,800.751173473,800.749173473,-0.066,0.082,0.995,0.0,0.0,-0.183,,4.697,3.777,69.462
